ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
-180.62792974778185,703731.2006195695,679817.4209616397,120478.08200781632,84967.37001776611,17164.388342294526,26077.69054923528,939.3416307829484,3394.811154142124,2758.44757210519,350.31663199198124,235.77864081398653,1290.6937639559312,2.458133570828545e-05,249998.69994420648,0.1048803702588326
-197.55708439966045,709365.0271550681,688668.4031560393,120123.11232003829,86030.38569804149,17355.4766820698,26196.63400245645,828.7352073282824,3476.4885810804544,2625.2466786586774,276.6296842536007,244.1481885634365,1300.4620561550112,3.535013644750492e-05,237744.1103410398,0.1029526384123416
-144.77935151783657,727787.0862307929,706301.9946832022,118876.67044830172,86953.39679156005,17094.95856168957,25689.03846024141,810.5482834078215,3753.225721104255,2744.639861421096,252.53364792654725,358.13167891876753,1543.4628081981052,4.481779889846726e-05,245370.0365313451,0.0960056014186566
-177.8346319385053,697051.9494621719,675032.7085403865,125713.43313669288,84013.80501206151,17153.003056580703,26000.187292590585,898.0492151206284,3678.811542039099,2831.634271843292,530.4277582751147,199.07821056397864,1329.1886436334469,1.723385692774318e-05,214648.70883822427,0.0708548973205869
-122.8903059179561,700794.470059059,674767.2773156187,126926.5034571703,87462.33465288678,17020.624041088242,26338.428235910764,935.895952295822,3666.389791678609,2968.9545737417275,697.0308488575101,355.5928448678074,1505.8686248501433,1.3856550908249308e-05,349965.636902883,0.1492099260961323
-293.49979102901364,693100.7412878966,673550.3319817658,120353.72733167368,85396.58635862259,17601.436903847192,26181.208264981524,837.8782071647544,3568.80295991621,2845.6815686603973,310.9550050668915,225.24879015190956,1369.8826911047283,2.65949124523866e-05,246167.5856525013,0.0891577709842645
-220.5845887109596,690384.7592879769,669363.727976557,116474.99608319536,85269.1099279871,17326.361858051598,25773.616854437605,901.2988381330148,3613.790409047826,2895.3306415979355,182.92585913983277,238.432699688012,1457.4782175444975,4.8630656049607137e-05,216641.44709148348,0.0739948483833042
-222.3832345322609,727786.5377282096,705647.625938023,121433.74450657396,86923.23081968479,17069.455516804086,25800.02336120424,890.2536111334754,3611.76777421916,2843.0689065035344,301.7208290938981,325.5738532303432,1481.2830672882496,3.368449691135404e-05,248815.79070006064,0.0874330730248839
-148.03452422676455,748777.5173364773,724041.1623288223,123225.14263426544,85303.7039512078,16427.88692675336,25409.615627218624,936.5912354838484,3731.562494052052,2899.184116165163,438.29034339267,278.99748937456354,1428.9355820469127,1.636387844546952e-05,266543.6511555512,0.1042828468109291
-196.39664409685557,745614.0423111977,723754.8431026617,122013.8132982172,84253.49571924967,16987.438817108647,27263.57509627014,848.2096066537877,3809.117131978444,2879.041890851808,414.6340225347658,195.88115606308224,1378.8563430638403,2.497181774908411e-05,246175.5058301637,0.0968099379199976
-207.9637654648261,621797.488804668,604103.5367037875,116487.78133491968,83808.31448423925,18650.45252423392,24532.49024202153,753.3422162198132,3486.047262501117,2766.2006770479807,184.98541788830136,165.24500547743412,1229.7244015333602,3.508164536490364e-05,244828.3079999533,0.0880145808253837
-167.0727933172329,693267.5140050664,673589.6402287988,124006.68809396512,84666.67336399878,17354.550084755996,26347.942308242025,819.5833161308743,3534.944141819424,2848.073921682806,410.1319072033012,219.7721145927375,1429.8822046705666,2.406741007538e-05,237300.70416545143,0.0790931211189827
-147.4948104323848,752032.561508297,726289.9784889852,120190.68478860284,85578.29400678894,16438.896068430728,27258.976779066223,949.6811981457628,3734.516704228315,2820.973340899038,341.6450365471921,273.3040853335961,1360.092219966047,3.261981926656364e-05,247699.1411613891,0.0972153007413181
-217.0465986030441,705918.8807183943,685236.8762124266,123841.12734388393,83744.07501411282,17091.82848535254,25309.18114949701,823.3706974992156,3612.6605156033374,2832.9254851878745,517.8730745524175,208.44493517378928,1506.1379807473545,1.315392888087192e-05,223281.9460814496,0.0785840339884445
-188.09893147553876,727518.4931088767,705849.4763361047,119471.4454109218,82595.12492459494,17077.16528993593,26424.5319434842,830.8792996394865,3766.7914002459615,2774.7283129740417,273.12485526565587,97.28557268168214,1346.827707309166,2.746759271380281e-05,246685.7014986941,0.100556449984599
-219.6494684444696,756340.5616912737,732959.5443672035,120966.47508968084,85036.54640121436,16690.0483497499,26973.884363867164,900.5102985220359,3937.414286324688,2946.1788189790286,367.6751488908837,240.30787019030072,1300.322582835047,2.5546927171486643e-05,237322.80413208404,0.0831835927149544
-187.1221863550996,667166.710981335,645849.8751000097,118693.21650389768,85605.15489466993,17632.47337866636,25468.654432586514,947.4556099539442,3472.355920240414,2768.109466660176,255.51402846513383,263.6992683474607,1407.1851439217885,3.845716460523347e-05,217791.74097673155,0.0742463423952317
